,sufixo,family,genus,cf,sp1,author1,rank1,sp2,author2,rank2,sp3,author3,vernacular,typestat,country,majorarea,minorarea,gazetteer,uc,latitude,longitude,latgrau,lat_min,lat_seg,ns,long_grau,long_min,long_seg,ew,altprof,altprofmax,unidmedaltprof,locnotes,flor,fruto,fuste,altura,unidmedaltura,collector,number,addcoll,colldd,collmm,collyy,detby,detdd,detmm,detyy,sigla_colbot_origem,dups,nrdups,notes,usos,uso_especifico,projeto,habitat,habito,id
,,Fabaceae,Swartzia,,parvipetala,(R. S. Cowan) Mansano,,,,,,,Banha-de-Galinha,,Brasil,Goias,Morrinhos,Fazenda Vale Encantado,,,,,,,,,,,,,,,12 km do trevo da BR-153 de Morrinhos,,X,,,,Dias. P. B.,1,,26,6,2024,"Mansano, V. F.",6,9,2024,,,,,,,,,,
1,,Araliaceae,Schefflera,,Macrocarpa,Cham S. Schltdl,,,,,,,,,Brasil,Goiás ,Caldas Novas ,Parque Estadual Serra de Caldas ,,,,,,,,,,,,,,,,,,,"3,5",m,"RAMOS, M. V. V.",88,,15,1,2013,,,,,,,,,,,,Cerrado,,
